day,date,time,temp,feelslike,humidity,dew,precip,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex
Thursday,01-08-2024,00:00:00,77,77,100,77,0,21,3.4,170,1001,1.9,100,0,0,0
Thursday,01-08-2024,01:00:00,78.8,78.8,94.23,77,0,14.5,4.7,150,1000,1.9,100,0,0,0
Thursday,01-08-2024,02:00:00,78.7,78.7,94.23,76.9,0,7.2,3.4,80,1000,1.9,100,0,0,0
Thursday,01-08-2024,03:00:00,78.8,78.8,94.23,77,0,15,6.9,110,1000,1.9,100,0,0,0
Thursday,01-08-2024,04:00:00,78.8,78.8,100,78.8,0,9.6,5.8,120,1000,1.9,100,0,0,0
Thursday,01-08-2024,05:00:00,78.9,78.9,99.48,78.7,0.498,2.9,1.3,160,998.5,1.3,95.6,0,0,0
Thursday,01-08-2024,06:00:00,78.8,78.8,100,78.8,0,3.6,2.2,139.1,1000,1.9,100,0,0,0
Thursday,01-08-2024,07:00:00,80.6,88.1,94.27,78.8,0,3.1,3.4,120,1000,1.9,100,5,0,0
Thursday,01-08-2024,08:00:00,80.1,87,95.56,78.8,0,8.1,1.7,126,999.7,1.4,92.9,14,0.1,0
Thursday,01-08-2024,09:00:00,84.2,98.2,88.99,80.6,0,3.4,4.7,140,1001,2.5,88.9,6,0,0
Thursday,01-08-2024,10:00:00,84.2,96.1,83.9,78.8,0,3.1,4.7,130,1002,3.1,88.9,21,0.1,0
Thursday,01-08-2024,11:00:00,84.7,98.5,85.53,79.9,0,3.8,3,117,1000.1,2.6,89.7,79,0.3,1
Thursday,01-08-2024,12:00:00,86,101.9,84,80.6,0,6.5,4.7,140,1001,3.1,88.9,533,1.9,5
Thursday,01-08-2024,13:00:00,86,99.4,79.19,78.8,0,8.1,4.7,140,1000,3.1,88.9,747,2.7,7
Thursday,01-08-2024,14:00:00,89.5,106,72.53,79.5,0,9.8,3.6,77,998.1,2.6,81.1,437,1.6,4
Thursday,01-08-2024,15:00:00,87.8,102.4,74.79,78.8,0,10.1,5.8,100,999,3.1,88.9,357,1.3,4
Thursday,01-08-2024,16:00:00,89.6,108.1,74.95,80.6,0,9.2,3.4,120,998,3.1,88.9,526,1.9,5
Thursday,01-08-2024,17:00:00,90.6,107.5,69.74,79.3,0,8.7,3.3,92,996.2,2.6,81.3,328,1.2,3
Thursday,01-08-2024,18:00:00,87.8,99.9,70.47,77,0,6.9,2.2,143.4,998,3.1,88.9,279,1,3
Thursday,01-08-2024,19:00:00,87.8,99.9,70.47,77,0,6.9,4.7,120,999,3.1,88.9,108,0.4,1
Thursday,01-08-2024,20:00:00,86.5,101.9,80.67,79.9,0,8.1,0.6,123.2,997.8,2.4,81.3,0,0,0
Thursday,01-08-2024,21:00:00,86,99.4,79.19,78.8,0,8.5,3.4,130,1000,3.1,88.9,0,0,0
Thursday,01-08-2024,22:00:00,86,101.9,84,80.6,0,9.6,3.4,130,1000,2.5,88.9,0,0,0
Thursday,01-08-2024,23:00:00,85.2,99.7,85.17,80.2,0,10.1,0.6,132.8,998.7,2.5,82.5,0,0,0
Friday,02-08-2024,00:00:00,84.2,98.2,88.99,80.6,0,9.8,3.4,60,999,2.5,88.9,0,0,0
Friday,02-08-2024,01:00:00,84.2,98.2,88.99,80.6,0,9.2,3.4,100,999,1.9,88.9,0,0,0
Friday,02-08-2024,02:00:00,81.5,92.4,99.27,81.3,0.096,9.6,1,90,996.8,1.4,89.7,0,0,0
Friday,02-08-2024,03:00:00,82.4,92.4,88.91,78.8,0,7.6,0,0,998,2.5,88.9,0,0,0
Friday,02-08-2024,04:00:00,82.4,92.4,88.91,78.8,0,7.4,2.2,123.3,998,2.5,88.9,0,0,0
Friday,02-08-2024,05:00:00,81.5,92.2,98.34,81,0,7.4,0,0,997,1.6,44.1,0,0,0
Friday,02-08-2024,06:00:00,82.4,92.4,88.91,78.8,0,9.2,0,0,999,2.5,50,0,0,0
Friday,02-08-2024,07:00:00,84.2,96.1,83.9,78.8,0,10.5,2.2,103.2,999,2.5,50,20,0.1,0
Friday,02-08-2024,08:00:00,86,103.8,87.53,81.8,0,13.4,4,89,997.8,1.4,72.7,148,0.5,1
Friday,02-08-2024,09:00:00,86,101.9,84,80.6,0,15.7,6.9,110,1000,2.5,88.9,319,1.1,3
Friday,02-08-2024,10:00:00,87.8,102.4,74.79,78.8,0,17,5.8,90,999,1.9,88.9,461,1.7,5
Friday,02-08-2024,11:00:00,90.5,110.8,74.75,81.3,0,17.7,5.8,82,997,2.3,81.3,557,2,6
Friday,02-08-2024,12:00:00,87.8,111.8,89.14,84.2,0,19.7,8.1,110,998,1.9,88.9,614,2.2,6
Friday,02-08-2024,13:00:00,82.4,94.1,94.32,80.6,0,16.8,4.7,70,998,1.9,88.9,823,3,8
Friday,02-08-2024,14:00:00,86.9,102.1,78.88,79.6,0.024,15.2,5.6,74,995.9,2.3,89.7,866,3.1,9
Friday,02-08-2024,15:00:00,86,99.4,79.19,78.8,0,14.3,8.1,90,997,2.5,88.9,696,2.5,7
Friday,02-08-2024,16:00:00,87.8,105.1,79.33,80.6,0,13.2,6.9,90,996,2.5,88.9,188,0.7,2
Friday,02-08-2024,17:00:00,89.5,110.6,78.57,82,0,13,5.6,76,995,2.3,88.4,111,0.4,1
Friday,02-08-2024,18:00:00,87.8,108.2,84.11,82.4,0,14.3,5.8,90,997,2.5,88.9,138,0.5,1
Friday,02-08-2024,19:00:00,86,104.7,89.07,82.4,0,15.4,3.4,100,997,2.5,50,91,0.3,1
Friday,02-08-2024,20:00:00,86.9,105.3,84.85,81.7,0,15.4,3.4,76,996.7,1.4,79.8,0,0,0
Friday,02-08-2024,21:00:00,86,104.7,89.07,82.4,0,14.5,5.8,70,999,2.5,88.9,0,0,0
Friday,02-08-2024,22:00:00,86,104.7,89.07,82.4,0,14.1,4.7,80,999,2.5,88.9,0,0,0
Friday,02-08-2024,23:00:00,85.5,102.3,88.17,81.6,0,13.9,1.3,84,997.7,1.4,51.3,0,0,0
Saturday,03-08-2024,00:00:00,84.2,100.7,94.36,82.4,0,17.7,4.7,100,999,2.5,50,0,0,0
Saturday,03-08-2024,01:00:00,84.2,100.7,94.36,82.4,0,18.6,4.7,110,998,2.5,50,0,0,0
Saturday,03-08-2024,02:00:00,84.3,99.5,91.26,81.4,0,17.7,0.6,100,997.2,1.5,50,0,0,0
Saturday,03-08-2024,03:00:00,82.4,94.1,94.32,80.6,0,17.9,3.4,100,998,2.5,50,0,0,0
Saturday,03-08-2024,04:00:00,82.4,94.1,94.32,80.6,0,17.7,4.7,110,998,2.5,50,0,0,0
Saturday,03-08-2024,05:00:00,82.5,93.4,91.31,79.7,0,19.2,5.7,76,997.7,1.3,71.4,0,0,0
Saturday,03-08-2024,06:00:00,82.4,94.1,94.32,80.6,0,21.7,8.1,90,999,1.9,50,0,0,0
Saturday,03-08-2024,07:00:00,84.2,100.7,94.36,82.4,0,21.5,9.2,110,1000,1.9,88.9,19,0.1,0
Saturday,03-08-2024,08:00:00,84.6,98.2,85.57,79.8,0,22.4,7.1,98,999,1.3,66.9,150,0.5,2
Saturday,03-08-2024,09:00:00,86,101.9,84,80.6,0,19.9,10.3,120,1001,2.5,88.9,345,1.2,3
Saturday,03-08-2024,10:00:00,87.8,105.1,79.33,80.6,0,19,10.3,120,1001,3.1,88.9,502,1.8,5
Saturday,03-08-2024,11:00:00,91.3,108.2,67.62,79.1,0,19,8.6,81,999.4,2.6,67.1,610,2.2,6
Saturday,03-08-2024,12:00:00,91.4,105.1,62.93,77,0,18.3,6.9,140,1001,4.3,88.9,755,2.7,8
Saturday,03-08-2024,13:00:00,93.2,107.5,59.5,77,0,19.7,8.1,130,1000,4.3,88.9,784,2.8,8
